,designatedArea,incidentType
34,Statewide,Flood
45,Statewide,Tornado
100,Statewide,Severe Storm(s)
151,Statewide,Flood
189,Statewide,Flood
199,Statewide,Flood
1016,Choctaw ,Flood
1018,Haskell ,Flood
1026,Pushmataha ,Flood
1030,Le Flore ,Flood
1049,Latimer ,Flood
1855,Lincoln ,Severe Storm(s)
1862,Garvin ,Severe Storm(s)
1864,Pittsburg ,Severe Storm(s)
1876,Coal ,Severe Storm(s)
1878,Pottawatomie ,Severe Storm(s)
1880,Cleveland ,Severe Storm(s)
1892,Atoka ,Severe Storm(s)
1895,Jefferson ,Severe Storm(s)
1898,Latimer ,Severe Storm(s)
1901,McClain ,Severe Storm(s)
1907,Adair ,Severe Storm(s)
1909,Seminole ,Severe Storm(s)
1913,Carter ,Severe Storm(s)
1919,Murray ,Severe Storm(s)
2040,Pontotoc ,Severe Storm(s)
2046,Tulsa ,Flood
2048,Creek ,Flood
2059,Osage ,Flood
2065,Okmulgee ,Flood
2091,Pushmataha ,Flood
2093,Wagoner ,Flood
2095,McCurtain ,Flood
2104,Haskell ,Flood
2108,Atoka ,Flood
2116,Latimer ,Flood
2118,Tulsa ,Flood
2119,Wagoner ,Flood
2123,Choctaw ,Flood
2125,Sequoyah ,Flood
2132,Pittsburg ,Flood
2135,Cotton ,Flood
2171,Le Flore ,Flood
2178,Bryan ,Flood
3177,Carter ,Severe Storm(s)
3192,Atoka ,Severe Storm(s)
3193,Cleveland ,Severe Storm(s)
3210,Osage ,Severe Storm(s)
3211,Latimer ,Severe Storm(s)
3212,Haskell ,Severe Storm(s)
3213,Garvin ,Severe Storm(s)
3214,Washita ,Severe Storm(s)
3217,Sequoyah ,Severe Storm(s)
3218,Grant ,Severe Storm(s)
3220,McIntosh ,Severe Storm(s)
3222,McClain ,Severe Storm(s)
3225,Coal ,Severe Storm(s)
3230,Stephens ,Severe Storm(s)
3232,Dewey ,Severe Storm(s)
3233,Comanche ,Severe Storm(s)
3234,Pontotoc ,Severe Storm(s)
3236,Lincoln ,Severe Storm(s)
3238,Mayes ,Severe Storm(s)
3244,Pittsburg ,Severe Storm(s)
3253,Choctaw ,Severe Storm(s)
3266,Canadian ,Severe Storm(s)
3269,Le Flore ,Severe Storm(s)
3283,Delaware ,Severe Storm(s)
3286,Muskogee ,Severe Storm(s)
3288,Jefferson ,Severe Storm(s)
3318,Washington ,Severe Storm(s)
3326,Tulsa ,Severe Storm(s)
3328,Garfield ,Severe Storm(s)
3347,Tillman ,Severe Storm(s)
3348,Jackson ,Severe Storm(s)
3357,Kay ,Flood
3358,Grant ,Flood
3406,Murray ,Flood
3410,Sequoyah ,Flood
3417,Haskell ,Flood
3418,Seminole ,Flood
3421,Hughes ,Flood
3422,Love ,Flood
3428,Pittsburg ,Flood
3432,McClain ,Flood
3439,Garfield ,Flood
3441,Kingfisher ,Flood
3471,Noble ,Flood
3486,Tulsa ,Flood
3488,Kay ,Flood
3514,Adair ,Flood
3518,Garvin ,Flood
3522,Latimer ,Flood
3523,Le Flore ,Flood
3531,Cleveland ,Flood
3538,Kay ,Flood
3596,Washington ,Flood
3609,Ottawa ,Flood
3622,Cherokee ,Flood
3626,Rogers ,Flood
3642,Osage ,Flood
3862,Payne ,Flood
3866,Wagoner ,Flood
3870,Okfuskee ,Flood
3871,Ottawa ,Flood
3874,Seminole ,Flood
3876,Tulsa ,Flood
3884,Logan ,Flood
3886,Rogers ,Flood
3887,Oklahoma ,Flood
3915,Adair ,Flood
3935,Payne ,Flood
3938,Osage ,Flood
3942,Major ,Flood
3944,Dewey ,Flood
3952,Lincoln ,Flood
3953,Creek ,Flood
3955,Tulsa ,Flood
3956,Washington ,Flood
3964,Pawnee ,Flood
3967,Oklahoma ,Flood
3968,Logan ,Flood
3985,Craig ,Flood
3987,Osage ,Flood
3991,Pittsburg ,Flood
3996,Pottawatomie ,Flood
4000,Lincoln ,Flood
4003,Cherokee ,Flood
4004,Okmulgee ,Flood
4007,Delaware ,Flood
4008,Creek ,Flood
4064,Mayes ,Flood
4069,Canadian ,Flood
4079,Grant ,Flood
4186,Jefferson ,Severe Storm(s)
4189,Cotton ,Severe Storm(s)
4191,Payne ,Severe Storm(s)
4299,McClain ,Severe Storm(s)
4321,Blaine ,Severe Storm(s)
4330,Cleveland ,Severe Storm(s)
4334,Kingfisher ,Severe Storm(s)
4338,Mayes ,Severe Storm(s)
4339,Major ,Severe Storm(s)
4340,Lincoln ,Severe Storm(s)
4575,Tulsa ,Tornado
4580,Latimer ,Tornado
4644,Latimer ,Tornado
4654,Le Flore ,Tornado
4667,Wagoner ,Flood
4706,Tulsa ,Flood
5070,Tillman ,Tornado
5085,Stephens ,Tornado
5102,Jefferson ,Tornado
5133,Carter ,Tornado
5139,Logan ,Flood
5206,Marshall ,Flood
5255,Payne ,Flood
5296,Washington ,Tornado
5344,Cotton ,Tornado
5376,Comanche ,Tornado
5494,Grady ,Flood
5545,Atoka ,Flood
5588,Kingfisher ,Flood
5596,Lincoln ,Flood
5617,McClain ,Flood
5693,Washita ,Flood
5726,Nowata ,Flood
5734,Bryan ,Flood
5749,Coal ,Flood
5762,Lincoln ,Flood
5768,Custer ,Flood
5776,Payne ,Tornado
5851,Jackson ,Flood
5858,Okmulgee ,Tornado
5864,Caddo ,Flood
5873,Tulsa ,Flood
5896,Tulsa ,Tornado
5967,Blaine ,Flood
6002,Okfuskee ,Flood
6047,Tillman ,Flood
6069,Jefferson ,Flood
6132,Garvin ,Flood
6165,Canadian ,Flood
6190,Garvin ,Flood
6194,Oklahoma ,Flood
6207,Logan ,Flood
6213,Noble ,Flood
6218,Wagoner ,Flood
6219,Delaware ,Flood
6296,Murray ,Flood
6297,Pawnee ,Tornado
6324,Grant ,Flood
6327,Kingfisher ,Flood
6345,Cherokee ,Flood
6356,Osage ,Tornado
6365,Pawnee ,Flood
6389,Grady ,Flood
6390,Love ,Flood
6422,Oklahoma ,Flood
6423,Custer ,Flood
6426,Creek ,Tornado
6455,Cleveland ,Flood
6461,Mayes ,Flood
6478,Major ,Flood
6502,Hughes ,Flood
6571,Pottawatomie ,Flood
6601,Osage ,Flood
6608,Caddo ,Flood
6624,Ottawa ,Flood
6633,Tillman ,Flood
6644,Muskogee ,Flood
6647,Okfuskee ,Flood
6679,McClain ,Flood
6681,Wagoner ,Flood
6682,Custer ,Flood
6694,Kiowa ,Flood
6737,Comanche ,Flood
6744,Kay ,Flood
6786,Sequoyah ,Flood
6789,Wagoner ,Tornado
6798,Tulsa ,Flood
6800,Washita ,Flood
6818,Stephens ,Flood
6827,Kingfisher ,Flood
6833,Okmulgee ,Flood
6835,Rogers ,Flood
6841,Creek ,Flood
6862,Haskell ,Flood
6880,Kay ,Flood
6886,Comanche ,Flood
6931,McClain ,Flood
6941,Carter ,Flood
6972,Cotton ,Flood
6977,Cleveland ,Severe Storm(s)
6981,Haskell ,Severe Storm(s)
6986,Kiowa ,Flood
7014,Okfuskee ,Flood
7028,Greer ,Flood
7032,Canadian ,Flood
7067,Osage ,Flood
7076,Payne ,Severe Storm(s)
7099,Logan ,Flood
7117,Delaware ,Severe Storm(s)
7134,Washington ,Flood
7137,Pottawatomie ,Flood
7217,Garfield ,Flood
7248,Noble ,Tornado
7259,Payne ,Flood
7311,Blaine ,Flood
7326,Garvin ,Severe Storm(s)
7329,Roger Mills ,Severe Storm(s)
7373,Rogers ,Tornado
7381,Canadian ,Flood
7391,Ellis ,Severe Storm(s)
7433,Beckham ,Flood
7437,Rogers ,Flood
7458,Caddo ,Flood
7506,Latimer ,Severe Storm(s)
7514,Cherokee ,Severe Storm(s)
7515,Johnston ,Flood
7564,Adair ,Flood
7567,Caddo ,Severe Storm(s)
7622,Cotton ,Flood
7631,Carter ,Severe Storm(s)
7634,Kiowa ,Flood
7693,Logan ,Flood
7709,Stephens ,Flood
7738,Caddo ,Flood
7740,Le Flore ,Severe Storm(s)
7759,Cleveland ,Flood
7793,Washington ,Severe Storm(s)
7797,Adair ,Severe Storm(s)
7864,Johnston ,Severe Storm(s)
7865,Tillman ,Flood
7943,McIntosh ,Severe Storm(s)
7952,Comanche ,Flood
7953,Coal ,Severe Storm(s)
8025,Grady ,Flood
8028,Sequoyah ,Severe Storm(s)
8062,Cleveland ,Severe Storm(s)
8068,Murray ,Severe Storm(s)
8144,Washington ,Tornado
8159,Seminole ,Severe Storm(s)
8195,McCurtain ,Severe Storm(s)
8237,Pushmataha ,Severe Storm(s)
8256,Pittsburg ,Severe Storm(s)
8258,Creek ,Severe Storm(s)
8370,Marshall ,Severe Storm(s)
8425,Marshall ,Severe Storm(s)
8510,Pontotoc ,Severe Storm(s)
8528,Oklahoma ,Severe Storm(s)
8565,Adair ,Severe Storm(s)
8568,Mayes ,Tornado
8590,Okmulgee ,Severe Storm(s)
8597,Jefferson ,Severe Storm(s)
8656,Lincoln ,Severe Storm(s)
8662,Lincoln ,Severe Storm(s)
8741,Washita ,Severe Storm(s)
8748,Logan ,Severe Storm(s)
8759,Pottawatomie ,Severe Storm(s)
8760,Love ,Severe Storm(s)
8773,McClain ,Severe Storm(s)
8778,Okfuskee ,Severe Storm(s)
8785,Atoka ,Severe Storm(s)
8801,Bryan ,Severe Storm(s)
8815,Kiowa ,Severe Storm(s)
8907,Kingfisher ,Severe Storm(s)
8911,Stephens ,Severe Storm(s)
8913,Love ,Severe Storm(s)
8932,Grady ,Severe Storm(s)
8940,Choctaw ,Severe Storm(s)
9033,Cotton ,Severe Storm(s)
9050,Logan ,Severe Storm(s)
9066,Hughes ,Severe Storm(s)
9128,McClain ,Severe Storm(s)
9151,Garfield ,Tornado
9211,Oklahoma ,Human Cause
9220,Kay ,Severe Storm(s)
9225,Atoka ,Tornado
9231,Cotton ,Severe Storm(s)
9261,Atoka ,Severe Storm(s)
9327,Blaine ,Severe Storm(s)
9334,Jefferson ,Severe Storm(s)
9337,Tulsa ,Severe Storm(s)
9339,Rogers ,Tornado
9367,Major ,Severe Storm(s)
9416,Bryan ,Severe Storm(s)
9437,Pawnee ,Severe Storm(s)
9539,Roger Mills ,Tornado
9556,Caddo ,Severe Storm(s)
9604,Kingfisher ,Severe Storm(s)
9605,Grady ,Tornado
9612,Alfalfa ,Severe Storm(s)
9615,Kay ,Severe Storm(s)
9622,Wagoner ,Severe Storm(s)
9643,Woods ,Severe Storm(s)
9657,Noble ,Severe Storm(s)
9668,Craig ,Severe Storm(s)
9698,Canadian ,Severe Storm(s)
9719,Kiowa ,Tornado
9728,Payne ,Severe Storm(s)
9747,Carter ,Severe Storm(s)
9750,Lincoln ,Tornado
9751,Haskell ,Severe Storm(s)
9910,Custer ,Severe Storm(s)
9931,Cotton ,Tornado
9952,Osage ,Tornado
9966,Okmulgee ,Severe Storm(s)
10024,Wagoner ,Tornado
10036,Dewey ,Severe Storm(s)
10067,Grant ,Severe Storm(s)
10154,Pottawatomie ,Severe Storm(s)
10217,Osage ,Severe Storm(s)
10294,Pawnee ,Tornado
10295,Alfalfa ,Severe Storm(s)
10310,Ottawa ,Severe Storm(s)
10336,Woodward ,Severe Storm(s)
10342,Logan ,Tornado
10365,Nowata ,Severe Storm(s)
10384,Washita ,Severe Storm(s)
10406,Woodward ,Tornado
10408,Harmon ,Tornado
10437,Blaine ,Severe Storm(s)
10470,Oklahoma ,Severe Storm(s)
10506,Sequoyah ,Severe Storm(s)
10508,Pushmataha ,Severe Storm(s)
10553,Jackson ,Severe Storm(s)
10624,Alfalfa ,Tornado
10705,Osage ,Tornado
10706,Custer ,Severe Storm(s)
10799,Major ,Tornado
10932,Tillman ,Tornado
10934,Tulsa ,Tornado
10958,Nowata ,Tornado
10979,Ellis ,Tornado
11037,Major ,Severe Storm(s)
11056,Tillman ,Severe Storm(s)
11176,Carter ,Tornado
11290,Canadian ,Severe Storm(s)
11378,Murray ,Tornado
11426,Jackson ,Tornado
11548,Caddo ,Tornado
11568,Creek ,Tornado
11673,Washita ,Tornado
11803,Custer ,Tornado
11813,Greer ,Severe Storm(s)
11843,Grant ,Severe Storm(s)
