,RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
80,Oklahoma ,120438.0,120574.0,120781.0,120804.0,120900.0,120732.0,120560.0,120091.0,119594.0,118899.0,118098.0,117521.0,117493.0,117628.0,117539.0,117254.0,116761.0,116356.0,115968.0,115875.0,115995.0,116196.0,116258.0,116126.0,115779.0,115608.0,115626.0,115888.0,116288.0,116753.0,117224.0,117470.0,117298.0,117191.0,117409.0,117908.0,118315.0,118244.0,118247.0,118194.0,118255.0,118357.0,118590.0,118994.0,119564.0,120080.0,120530.0,120838.0,121299.0,121739.0,122069.0,122293.0,122737.0,123121.0,123411.0,123640.0,124035.0,124605.0,124892.0,125006.0,124844.0,125065.0,125451.0,126081.0,126367.0,126567.0,126705.0,126743.0,126596.0,126305.0,126346.0,126757.0,127610.0,128406.0,129010.0,129063.0,129185.0,129431.0,129945.0,130501.0,131017.0,131393.0,131697.0,131885.0,131865.0,131830.0,131886.0,132623.0,133341.0,134051.0,134361.0,134722.0,135224.0,135847.0,136417.0,136779.0,136971.0,136977.0,137078.0,137199.0,137359.0,137171.0,137024.0,136856.0,136994.0,137279.0,137735.0,138540.0,139188.0,140124.0,140382.0,140676.0,140913.0,141810.0,142923.0,143874.0,144554.0,145060.0,145613.0,146059.0,146796.0,147463.0,148659.0,149741.0,150896.0,151752.0,152550.0,153549.0
252,Cleveland ,137173.0,137241.0,137561.0,137881.0,137956.0,137912.0,137682.0,137290.0,137029.0,136668.0,136430.0,136320.0,136376.0,136201.0,135920.0,135379.0,134944.0,134352.0,134209.0,134321.0,134442.0,134505.0,134168.0,134005.0,133840.0,133958.0,133952.0,134043.0,134197.0,134506.0,134533.0,134466.0,134323.0,134525.0,135045.0,135458.0,135738.0,135762.0,136157.0,136483.0,136876.0,137349.0,137974.0,138586.0,139108.0,139175.0,139311.0,139526.0,139989.0,140489.0,140662.0,140964.0,141123.0,141280.0,141476.0,141744.0,142064.0,142619.0,143024.0,143722.0,144335.0,145155.0,145708.0,146206.0,146594.0,146853.0,146961.0,147156.0,147462.0,147761.0,147856.0,147277.0,146566.0,146014.0,146251.0,146673.0,147160.0,147652.0,148031.0,148200.0,148288.0,148270.0,148420.0,148826.0,149456.0,149859.0,149926.0,149985.0,150182.0,150528.0,150907.0,151371.0,151730.0,152084.0,152511.0,152863.0,153161.0,153264.0,153506.0,153446.0,153569.0,153416.0,153547.0,153543.0,153798.0,154123.0,154556.0,155182.0,155655.0,156202.0,156452.0,156873.0,157248.0,157994.0,158684.0,159381.0,159891.0,160478.0,160969.0,161364.0,161911.0,162590.0,163530.0,164533.0,165501.0,166335.0,167124.0,168029.0
516,Canadian ,142252.0,142354.0,142371.0,142684.0,142990.0,142600.0,141585.0,140299.0,139008.0,138447.0,138174.0,138121.0,137753.0,137646.0,136881.0,135972.0,135007.0,134351.0,134328.0,134264.0,134730.0,134677.0,134287.0,133658.0,133340.0,133172.0,133424.0,133936.0,134260.0,134495.0,134560.0,134960.0,135338.0,135924.0,136718.0,137642.0,138470.0,139030.0,139539.0,139998.0,140574.0,141313.0,141900.0,142502.0,142526.0,142417.0,142255.0,142485.0,142869.0,143188.0,143533.0,143620.0,144069.0,143916.0,144009.0,143770.0,144094.0,144599.0,145174.0,145584.0,145784.0,146235.0,146617.0,147213.0,147357.0,147916.0,148251.0,149032.0,149604.0,150210.0,150467.0,150481.0,150235.0,150016.0,149895.0,149904.0,150042.0,150236.0,150548.0,150515.0,150380.0,150240.0,150435.0,150758.0,151550.0,152295.0,152888.0,153019.0,152984.0,152876.0,152840.0,152930.0,153113.0,153237.0,153303.0,153537.0,153812.0,153846.0,153874.0,154091.0,154768.0,155284.0,155832.0,156298.0,156878.0,157550.0,158270.0,158895.0,158816.0,159016.0,159414.0,160053.0,160566.0,161137.0,161875.0,162448.0,163059.0,163568.0,164093.0,164610.0,165587.0,166499.0,167315.0,167967.0,168542.0,169200.0,169725.0,170441.0
700,Payne ,114167.0,114452.0,114736.0,114858.0,114764.0,114653.0,114507.0,114446.0,114400.0,114300.0,114036.0,113738.0,113412.0,113301.0,113262.0,113312.0,113339.0,113376.0,113391.0,113404.0,113496.0,113592.0,113748.0,113861.0,114051.0,114219.0,114346.0,114512.0,114657.0,114844.0,115066.0,115240.0,115386.0,115649.0,115998.0,116382.0,116669.0,116896.0,117166.0,117339.0,117475.0,117585.0,117732.0,117994.0,118283.0,118523.0,118731.0,118944.0,119318.0,119749.0,120209.0,120653.0,121120.0,121591.0,122057.0,122500.0,122946.0,123423.0,123903.0,124382.0,124719.0,125118.0,125478.0,125951.0,126367.0,126816.0,127265.0,127691.0,128061.0,128287.0,128587.0,128915.0,129307.0,129572.0,129846.0,130142.0,130439.0,130743.0,131072.0,131405.0,131749.0,132129.0,132371.0,132606.0,132887.0,133444.0,133990.0,134470.0,134886.0,135284.0,135624.0,135916.0,136219.0,136663.0,136943.0,137275.0,137552.0,137829.0,138121.0,138428.0,138974.0,139479.0,139974.0,140482.0,141039.0,141566.0,141661.0,141663.0,141653.0,142305.0,143060.0,143813.0,144436.0,145012.0,145601.0,146085.0,146580.0,147088.0,148019.0,148989.0,149974.0,150380.0,150692.0,151009.0,151325.0,151704.0,152084.0,152532.0
761,Pottawatomie ,89391.0,89326.0,89255.0,89036.0,88877.0,88557.0,88254.0,87922.0,87846.0,87741.0,87586.0,87327.0,87021.0,86574.0,86105.0,85892.0,85755.0,85729.0,85821.0,85994.0,86142.0,86165.0,86093.0,86037.0,86040.0,86204.0,86425.0,86535.0,86572.0,86530.0,86440.0,86240.0,86113.0,85999.0,86107.0,86181.0,86412.0,86590.0,86730.0,86770.0,86810.0,86957.0,87064.0,87288.0,87402.0,87358.0,87196.0,87122.0,87363.0,87551.0,87835.0,88084.0,88411.0,88567.0,88758.0,88944.0,89177.0,90158.0,91276.0,92431.0,92592.0,92662.0,92663.0,92854.0,92987.0,93243.0,93522.0,93767.0,93919.0,92955.0,92263.0,91527.0,92015.0,92262.0,92608.0,92812.0,92972.0,93119.0,93264.0,93448.0,93664.0,94344.0,94257.0,94250.0,94086.0,94691.0,95122.0,95309.0,95499.0,95705.0,95850.0,96068.0,96330.0,96890.0,97428.0,98198.0,97914.0,97716.0,97316.0,97674.0,98179.0,98686.0,99225.0,99453.0,99682.0,99857.0,100036.0,99567.0,99365.0,99348.0,99940.0,100385.0,100751.0,101505.0,102109.0,102758.0,103098.0,103469.0,104029.0,104941.0,106128.0,106946.0,107402.0,107639.0,107852.0,107744.0,107743.0,107832.0
851,Garfield ,86025.0,85528.0,85089.0,84686.0,84751.0,84765.0,84692.0,84521.0,84334.0,84298.0,83608.0,82902.0,82090.0,82246.0,82422.0,82616.0,82518.0,82482.0,82455.0,82492.0,82542.0,82249.0,82228.0,82176.0,82511.0,82736.0,82980.0,83211.0,83266.0,83298.0,83317.0,83363.0,83406.0,83562.0,83771.0,84065.0,84296.0,84501.0,84658.0,84803.0,84947.0,85135.0,85346.0,85572.0,85811.0,86117.0,86478.0,86847.0,87096.0,87298.0,87527.0,87838.0,88186.0,88531.0,88858.0,89228.0,89608.0,90061.0,90458.0,90835.0,91232.0,91714.0,92230.0,92663.0,93120.0,93558.0,94108.0,94571.0,95022.0,95114.0,95215.0,95309.0,95619.0,95928.0,96206.0,96605.0,96909.0,97232.0,97473.0,97878.0,98339.0,99032.0,99630.0,100254.0,100725.0,101388.0,101952.0,102421.0,102749.0,103150.0,103544.0,104185.0,104772.0,105459.0,105881.0,106314.0,106602.0,106358.0,106115.0,105859.0,106074.0,106447.0,106851.0,106343.0,105760.0,105103.0,105460.0,105490.0,105757.0,106025.0,106524.0,106651.0,106784.0,107374.0,108105.0,108711.0,108691.0,108700.0,108541.0,108593.0,108535.0,108680.0,108667.0,108955.0,109028.0,108638.0,108105.0,108023.0
939,Grady ,111745.0,111797.0,111809.0,111791.0,111764.0,111827.0,111798.0,111731.0,111609.0,111406.0,111133.0,110799.0,110422.0,110013.0,109661.0,109396.0,109172.0,108935.0,108760.0,108721.0,108794.0,109008.0,109186.0,109363.0,109588.0,109817.0,109965.0,109970.0,109960.0,109997.0,110089.0,110214.0,110257.0,110225.0,110169.0,110139.0,110209.0,110387.0,110626.0,110934.0,111210.0,111574.0,111843.0,112061.0,112258.0,112183.0,112220.0,112257.0,112531.0,112735.0,112956.0,113257.0,113551.0,113773.0,114037.0,114368.0,114771.0,115919.0,117067.0,118176.0,118624.0,118999.0,119425.0,119748.0,120162.0,120548.0,120904.0,121160.0,121380.0,120667.0,120309.0,120018.0,120533.0,120769.0,120943.0,121218.0,121358.0,121496.0,121682.0,121910.0,122123.0,122757.0,122628.0,122501.0,121965.0,122486.0,123056.0,123577.0,123894.0,124263.0,124588.0,124949.0,125339.0,126014.0,126652.0,127350.0,127868.0,127875.0,127830.0,127880.0,128620.0,129338.0,130138.0,130823.0,131512.0,132066.0,132350.0,132541.0,132761.0,133580.0,134468.0,135378.0,136033.0,136795.0,137467.0,138109.0,138736.0,139345.0,140350.0,141406.0,142599.0,143371.0,144118.0,144822.0,145447.0,146014.0,146646.0,147371.0
1133,Logan ,147417.0,147727.0,147865.0,147942.0,147913.0,147868.0,147885.0,147828.0,147706.0,147500.0,147114.0,146488.0,145761.0,145061.0,144645.0,144449.0,144439.0,144564.0,144625.0,144697.0,144903.0,145140.0,145371.0,145601.0,145814.0,146055.0,146182.0,146234.0,146285.0,146328.0,146514.0,146716.0,146866.0,147033.0,147283.0,147594.0,147985.0,148297.0,148643.0,148914.0,149022.0,149106.0,149189.0,149422.0,149647.0,149866.0,150138.0,150489.0,150971.0,151525.0,152099.0,152607.0,153247.0,153848.0,154412.0,154867.0,155411.0,156053.0,156646.0,157214.0,157690.0,158196.0,158635.0,159126.0,159387.0,159737.0,160059.0,160567.0,160889.0,161277.0,161631.0,161999.0,162159.0,162243.0,162387.0,162664.0,163102.0,163519.0,163892.0,164168.0,164510.0,164757.0,165115.0,165496.0,165978.0,166458.0,166906.0,167375.0,167853.0,168309.0,168773.0,169094.0,169483.0,169726.0,169691.0,169653.0,169928.0,170778.0,171759.0,172598.0,173285.0,173855.0,174463.0,175064.0,175667.0,176316.0,176399.0,176442.0,176341.0,176681.0,177191.0,177789.0,178590.0,179314.0,179941.0,180487.0,180966.0,181612.0,182810.0,184010.0,185128.0,185602.0,185869.0,186122.0,186283.0,186566.0,186889.0,187276.0
1315,Lincoln ,76258.0,76253.0,76250.0,76032.0,76054.0,75983.0,76301.0,76430.0,76572.0,76980.0,77310.0,77700.0,77566.0,77453.0,77335.0,77983.0,78601.0,79127.0,79072.0,79001.0,79063.0,78635.0,78259.0,77861.0,78183.0,78525.0,79002.0,79018.0,78929.0,78699.0,78683.0,78910.0,79189.0,79265.0,79199.0,79114.0,79210.0,79327.0,79196.0,78939.0,78772.0,79001.0,79389.0,79674.0,79747.0,79697.0,79722.0,79842.0,80222.0,80655.0,81168.0,81802.0,82392.0,82714.0,82923.0,83014.0,83348.0,83919.0,84709.0,85408.0,85685.0,85872.0,86119.0,86523.0,86957.0,87516.0,87895.0,88388.0,88774.0,89313.0,89800.0,90260.0,90919.0,91383.0,91820.0,91947.0,92065.0,92171.0,92490.0,92865.0,93265.0,93790.0,93820.0,93935.0,93769.0,94204.0,94614.0,95036.0,95455.0,95757.0,96092.0,96322.0,96584.0,96781.0,97143.0,97878.0,98282.0,98649.0,98731.0,99381.0,100133.0,100975.0,101665.0,102076.0,102434.0,102686.0,102881.0,102230.0,101783.0,101563.0,102063.0,102367.0,103089.0,103732.0,104395.0,104675.0,105102.0,105694.0,106387.0,107481.0,108582.0,109355.0,109681.0,109852.0,109612.0,109391.0,109186.0,109406.0
2095,Kingfisher ,107858.0,107407.0,107039.0,106418.0,106398.0,106323.0,106256.0,106195.0,106168.0,106391.0,106582.0,106628.0,106276.0,106174.0,106092.0,106148.0,105993.0,106004.0,106136.0,106298.0,106474.0,106369.0,106213.0,106228.0,106564.0,107082.0,107454.0,107883.0,108231.0,108532.0,108645.0,108761.0,108895.0,108923.0,108994.0,109074.0,109318.0,109489.0,109801.0,110073.0,110347.0,110540.0,110848.0,111235.0,111584.0,111902.0,112239.0,112573.0,112935.0,113210.0,113484.0,113742.0,114059.0,114371.0,114787.0,115189.0,115657.0,116695.0,117767.0,118780.0,119311.0,120014.0,120721.0,121376.0,121947.0,122568.0,123055.0,123415.0,123727.0,122881.0,122162.0,121498.0,121945.0,122150.0,122285.0,122437.0,122608.0,122849.0,123141.0,123560.0,123965.0,124842.0,125352.0,125940.0,126119.0,126653.0,127188.0,127691.0,128261.0,128757.0,129204.0,129557.0,129893.0,130527.0,131094.0,131783.0,131953.0,132353.0,132700.0,133389.0,134088.0,134759.0,135397.0,135972.0,136591.0,137158.0,137372.0,137166.0,137066.0,137490.0,138272.0,139026.0,139655.0,140262.0,140928.0,141468.0,142089.0,142484.0,143332.0,144423.0,145741.0,146460.0,146927.0,147253.0,147668.0,148143.0,148607.0,149221.0
