,CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2139,40017,Oklahoma,Canadian ,132922,66068,66854,8.3,77.3,2.4,3.5,3.2,0.0,95227,69220,1481,29852,612,7.9,9.9,36.7,15.4,25.3,10.5,12.1,85.6,8.6,0.2,0.8,1.1,3.6,23.8,67192,77.5,17.0,5.3,0.1,4.3
2144,40027,Oklahoma,Cleveland ,274024,136970,137054,8.2,72.8,4.6,3.5,4.3,0.1,205075,60632,915,29231,466,12.6,13.1,40.1,17.1,25.2,8.7,9.0,84.0,9.0,0.3,1.7,1.9,3.1,23.3,137715,74.0,21.2,4.6,0.2,4.8
2154,40047,Oklahoma,Garfield ,62421,30927,31494,11.6,75.8,3.0,1.8,0.8,2.8,43738,50724,1975,25787,960,13.6,17.3,28.7,17.1,20.9,15.2,18.0,84.5,9.3,0.3,1.1,2.0,2.8,16.6,27796,80.7,12.7,6.4,0.1,5.3
2156,40051,Oklahoma,Grady ,54351,27146,27205,5.5,82.0,2.1,4.9,0.4,0.0,40537,55527,1896,27334,766,12.4,16.5,31.8,15.6,23.3,14.5,14.9,86.3,8.0,0.1,1.2,1.1,3.3,25.9,24472,75.6,17.0,7.4,0.1,3.8
2167,40073,Oklahoma,Kingfisher ,15510,7669,7841,15.2,77.3,1.1,3.1,0.0,0.0,10565,62829,4672,31885,2451,8.9,13.6,36.1,14.4,20.6,15.9,12.9,86.7,5.9,0.0,0.8,0.7,5.9,19.0,7046,77.9,11.7,10.0,0.5,5.2
2171,40081,Oklahoma,Lincoln ,34759,17278,17481,3.2,82.8,1.8,7.9,0.2,0.1,26102,47539,1904,23911,953,14.3,19.2,29.1,16.2,23.3,15.4,15.9,83.8,9.0,0.1,1.9,1.5,3.7,29.1,14416,72.4,18.3,9.1,0.2,5.9
2172,40083,Oklahoma,Logan ,45326,22593,22733,5.7,77.8,8.6,3.5,0.5,0.1,33857,59133,4642,28265,1437,13.2,16.2,35.0,18.5,22.3,13.4,10.8,81.9,8.0,0.5,2.1,1.1,6.3,28.5,20909,73.7,19.2,6.9,0.2,4.8
2185,40109,Oklahoma,Oklahoma ,774203,378842,395361,16.8,56.8,14.8,2.5,3.3,0.1,524813,50762,484,29127,333,17.0,25.8,36.5,17.2,25.0,10.7,10.6,82.3,10.8,0.5,1.6,1.0,3.7,21.2,363998,78.9,14.9,6.0,0.1,5.2
2190,40119,Oklahoma,Payne ,80634,41317,39317,4.6,77.3,3.9,4.9,4.4,0.1,60719,39149,2201,22785,928,26.3,21.7,39.4,18.4,22.8,10.4,9.0,78.7,9.9,1.2,4.8,2.2,3.2,17.5,36377,68.2,26.3,5.1,0.4,4.5
2193,40125,Oklahoma,Pottawatomie ,71614,34122,37492,4.9,73.0,3.1,14.0,0.7,0.1,53659,46159,1521,22284,546,17.0,22.8,31.4,19.8,23.7,11.2,13.9,83.1,8.3,0.3,2.5,2.8,3.0,23.7,29570,69.2,24.1,6.5,0.2,6.7
