,DATE,Canadian,Cleveland,Grady,Kingfisher,Lincoln,Logan,Oklahoma,Payne,Pottawatomie
0,2005-01-01,115.0,413.0,339.0,69.0,295.0,313.0,351.0,248.0,686.0
1,2006-01-01,94.0,421.0,338.0,82.0,325.0,301.0,295.0,260.0,672.0
2,2007-01-01,82.0,331.0,296.0,67.0,301.0,217.0,278.0,239.0,540.0
3,2008-01-01,118.0,338.0,321.0,100.0,303.0,287.0,311.0,230.0,614.0
4,2009-01-01,104.0,354.0,394.0,54.0,286.0,.,240.0,274.0,548.0
5,2010-01-01,140.0,349.0,391.0,99.0,345.0,345.0,262.0,317.0,640.0
6,2011-01-01,206.0,365.0,297.0,59.0,318.0,344.0,266.0,.,672.0
7,2012-01-01,191.0,397.0,292.0,51.0,373.0,426.0,350.0,268.0,649.0
8,2013-01-01,185.0,383.0,316.0,76.0,365.0,449.0,380.0,349.0,651.0
9,2014-01-01,245.0,410.0,206.0,89.0,294.0,359.0,272.0,336.0,591.0
10,2015-01-01,209.0,355.0,256.0,48.0,240.0,340.0,212.0,352.0,523.0
11,2016-01-01,159.0,344.0,368.0,37.0,174.0,361.0,215.0,354.0,482.0
12,2017-01-01,153.0,373.0,394.0,82.0,312.0,361.0,220.0,330.0,596.0
13,2018-01-01,172.0,303.0,435.0,59.0,301.0,413.0,284.0,325.0,517.0
