,designatedArea,incidentType
1855,Lincoln ,Severe Storm(s)
1878,Pottawatomie ,Severe Storm(s)
1880,Cleveland ,Severe Storm(s)
3193,Cleveland ,Severe Storm(s)
3236,Lincoln ,Severe Storm(s)
3266,Canadian ,Severe Storm(s)
3328,Garfield ,Severe Storm(s)
3439,Garfield ,Flood
3441,Kingfisher ,Flood
3531,Cleveland ,Flood
3862,Payne ,Flood
3884,Logan ,Flood
3887,Oklahoma ,Flood
3935,Payne ,Flood
3952,Lincoln ,Flood
3967,Oklahoma ,Flood
3968,Logan ,Flood
3996,Pottawatomie ,Flood
4000,Lincoln ,Flood
4069,Canadian ,Flood
4191,Payne ,Severe Storm(s)
4330,Cleveland ,Severe Storm(s)
4334,Kingfisher ,Severe Storm(s)
4340,Lincoln ,Severe Storm(s)
5139,Logan ,Flood
5255,Payne ,Flood
5494,Grady ,Flood
5588,Kingfisher ,Flood
5596,Lincoln ,Flood
5762,Lincoln ,Flood
5776,Payne ,Tornado
6165,Canadian ,Flood
6194,Oklahoma ,Flood
6207,Logan ,Flood
6327,Kingfisher ,Flood
6389,Grady ,Flood
6422,Oklahoma ,Flood
6455,Cleveland ,Flood
6571,Pottawatomie ,Flood
6827,Kingfisher ,Flood
6977,Cleveland ,Severe Storm(s)
7032,Canadian ,Flood
7076,Payne ,Severe Storm(s)
7099,Logan ,Flood
7137,Pottawatomie ,Flood
7217,Garfield ,Flood
7259,Payne ,Flood
7381,Canadian ,Flood
7693,Logan ,Flood
7759,Cleveland ,Flood
8025,Grady ,Flood
8062,Cleveland ,Severe Storm(s)
8528,Oklahoma ,Severe Storm(s)
8656,Lincoln ,Severe Storm(s)
8662,Lincoln ,Severe Storm(s)
8748,Logan ,Severe Storm(s)
8759,Pottawatomie ,Severe Storm(s)
8907,Kingfisher ,Severe Storm(s)
8932,Grady ,Severe Storm(s)
9050,Logan ,Severe Storm(s)
9151,Garfield ,Tornado
9211,Oklahoma ,Human Cause
9604,Kingfisher ,Severe Storm(s)
9605,Grady ,Tornado
9698,Canadian ,Severe Storm(s)
9728,Payne ,Severe Storm(s)
9750,Lincoln ,Tornado
10154,Pottawatomie ,Severe Storm(s)
10342,Logan ,Tornado
10470,Oklahoma ,Severe Storm(s)
11290,Canadian ,Severe Storm(s)
12139,Oklahoma ,Severe Storm(s)
12181,Pottawatomie ,Tornado
12236,Kingfisher ,Tornado
12905,Canadian ,Tornado
14072,Canadian ,Severe Storm(s)
15075,Kingfisher ,Severe Ice Storm
15136,Grady ,Tornado
15634,Canadian ,Severe Ice Storm
15663,Garfield ,Severe Ice Storm
15693,Payne ,Tornado
15794,Logan ,Severe Ice Storm
15833,Kingfisher ,Tornado
15849,Payne ,Severe Ice Storm
15853,Cleveland ,Tornado
15903,Lincoln ,Tornado
15970,Pottawatomie ,Tornado
16226,Oklahoma ,Tornado
16348,Canadian ,Severe Ice Storm
16422,Lincoln ,Severe Ice Storm
16638,Grady ,Severe Ice Storm
16652,Lincoln ,Severe Ice Storm
16685,Pottawatomie ,Severe Ice Storm
16699,Canadian ,Tornado
16772,Kingfisher ,Severe Storm(s)
16816,Cleveland ,Severe Ice Storm
17024,Oklahoma ,Severe Ice Storm
17035,Payne ,Severe Ice Storm
17335,Kingfisher ,Severe Ice Storm
17362,Logan ,Severe Ice Storm
17437,Cleveland ,Severe Ice Storm
17442,Payne ,Severe Storm(s)
17489,Garfield ,Severe Ice Storm
17545,Cleveland ,Severe Storm(s)
17682,Oklahoma ,Severe Storm(s)
17699,Logan ,Tornado
17763,Oklahoma ,Severe Ice Storm
17807,Oklahoma ,Severe Storm(s)
17812,Oklahoma ,Severe Storm(s)
17842,Kingfisher ,Severe Ice Storm
17871,Grady ,Severe Storm(s)
18339,Payne ,Severe Ice Storm
18441,Pottawatomie ,Severe Ice Storm
18514,Canadian ,Severe Ice Storm
18681,Grady ,Severe Storm(s)
18742,Garfield ,Severe Storm(s)
18890,Pottawatomie ,Severe Storm(s)
19173,Lincoln ,Severe Storm(s)
19236,Kingfisher ,Severe Storm(s)
19425,Logan ,Severe Ice Storm
