,DATE,Canadian,Cleveland,Garfield,Grady,Kingfisher,Lincoln,Logan,Oklahoma,Payne,Pottawatomie
0,1970-01-01,32.245,81.839,56.343,29.354,12.857000000000001,19.482,19.645,527.717,50.653999999999996,43.13399999999999
1,1971-01-01,33.8,87.4,57.6,30.6,12.9,20.3,21.5,542.6,52.8,44.2
2,1972-01-01,36.5,93.1,57.6,32.1,12.8,21.0,22.5,549.2,55.3,46.1
3,1973-01-01,39.8,99.5,56.5,32.9,12.7,21.7,23.1,551.1,54.3,47.7
4,1974-01-01,42.4,106.1,57.6,34.0,12.9,22.2,23.6,546.9,55.9,49.4
5,1975-01-01,43.7,104.9,58.7,35.0,13.0,22.4,24.1,549.9,55.8,50.5
6,1976-01-01,45.2,108.9,60.1,36.1,13.6,22.9,24.3,552.3,58.0,51.5
7,1977-01-01,47.3,115.2,61.1,36.9,14.0,23.4,24.7,554.0,59.0,52.6
8,1978-01-01,50.1,120.0,61.9,37.5,14.2,24.1,25.3,560.2,60.5,53.1
9,1979-01-01,54.8,127.4,62.3,38.7,13.8,25.6,25.9,559.7,61.4,53.8
10,1980-01-01,56.452,133.173,62.82,39.49,14.187000000000001,26.601,26.881,568.933,62.435,55.239
11,1981-01-01,60.11,139.567,64.5,40.943000000000005,14.959000000000001,27.381999999999998,27.605999999999998,581.207,63.074,57.218
12,1982-01-01,64.245,148.47,67.597,43.836000000000006,16.192999999999998,28.261999999999997,28.684,601.966,65.104,59.025
13,1983-01-01,67.279,156.631,67.225,45.45399999999999,16.372,29.311,30.239,619.78,65.98100000000001,61.18600000000001
14,1984-01-01,69.888,162.174,65.759,45.098,16.212,30.066,31.178,621.481,65.404,62.354
15,1985-01-01,71.931,164.533,64.15100000000001,45.013000000000005,15.755,30.410999999999998,30.989,620.966,64.39399999999999,62.567
16,1986-01-01,73.234,167.782,62.55,43.898999999999994,15.35,30.160999999999998,30.555999999999997,614.469,63.668,61.787
17,1987-01-01,73.251,169.453,59.858000000000004,43.089,14.512,29.686999999999998,29.951,601.241,62.839,60.666000000000004
18,1988-01-01,72.898,169.669,57.691,42.586999999999996,14.035,29.203000000000003,29.505,599.675,62.282,59.433
