,DATE,Canadian,Cleveland,Garfield,Grady,Kingfisher,Lincoln,Logan,Oklahoma,Payne,Pottawatomie
120,2000-01-01,2.5,2.6,3.2,3.2,2.4,3.4,2.6,3.1,2.7,3.6
121,2000-02-01,2.6,2.6,3.4,3.2,2.6,3.4,2.7,3.2,2.7,3.5
122,2000-03-01,2.4,2.4,3.1,2.9,2.3,3.2,2.5,3.0,2.5,3.2
123,2000-04-01,2.0,1.9,2.4,2.3,1.8,2.4,2.0,2.4,2.0,2.7
124,2000-05-01,2.4,2.3,2.9,2.8,2.3,2.9,2.5,2.9,2.5,3.2
125,2000-06-01,2.7,2.8,3.2,3.2,2.6,3.3,3.1,3.3,3.1,3.6
126,2000-07-01,2.3,2.4,2.8,2.9,2.3,2.8,2.6,2.9,2.5,3.2
127,2000-08-01,2.4,2.1,2.7,3.1,2.1,2.7,2.6,2.8,2.5,3.2
128,2000-09-01,2.3,2.1,2.6,3.0,2.0,2.6,2.5,2.7,2.2,3.0
129,2000-10-01,2.3,2.1,2.5,3.0,2.0,2.7,2.5,2.7,2.3,3.0
130,2000-11-01,2.1,2.1,2.4,2.6,2.0,2.8,2.2,2.6,2.3,2.9
131,2000-12-01,2.0,1.9,2.2,2.5,1.8,2.7,2.1,2.5,2.0,2.7
132,2001-01-01,2.3,2.2,2.5,2.9,2.2,3.4,2.4,3.0,2.5,3.3
133,2001-02-01,2.9,3.0,3.0,3.1,2.6,3.6,2.5,3.9,2.6,4.2
134,2001-03-01,2.8,2.9,2.9,3.0,2.4,3.7,2.4,3.9,2.6,4.3
135,2001-04-01,2.2,2.0,2.5,2.3,1.9,2.8,2.0,2.9,2.2,3.2
136,2001-05-01,2.5,2.4,2.8,2.6,2.2,3.4,2.4,3.2,2.4,3.6
137,2001-06-01,3.2,3.8,3.3,3.5,2.7,4.3,3.3,4.0,3.2,4.8
138,2001-07-01,2.8,3.5,2.9,3.1,2.3,3.9,2.8,3.8,2.9,4.6
139,2001-08-01,3.1,3.7,2.9,3.2,2.3,3.9,2.9,4.1,3.0,4.7
140,2001-09-01,3.4,3.4,3.1,3.4,2.5,4.0,3.1,4.1,2.9,4.6
141,2001-10-01,3.7,3.5,3.4,3.8,2.5,4.4,3.6,4.5,3.1,5.2
142,2001-11-01,3.8,3.5,3.6,4.0,2.8,4.4,3.4,4.4,3.2,5.1
143,2001-12-01,4.3,3.5,3.6,4.2,2.9,4.3,3.5,4.6,3.3,5.1
144,2002-01-01,4.6,3.7,3.7,4.4,3.1,5.0,3.7,5.1,3.6,5.5
145,2002-02-01,4.3,4.0,3.7,4.5,3.4,5.7,3.6,4.9,3.5,5.4
146,2002-03-01,4.2,3.8,3.5,4.3,3.1,5.3,3.5,4.7,3.3,5.1
147,2002-04-01,4.0,3.5,3.0,3.5,2.8,5.0,3.0,4.4,3.0,4.7
148,2002-05-01,4.3,3.6,3.4,3.8,3.2,5.1,3.6,4.5,3.4,4.8
149,2002-06-01,4.4,3.9,3.7,4.0,3.6,5.3,3.8,4.8,4.1,5.1
150,2002-07-01,3.9,3.4,3.4,3.8,3.0,4.9,3.2,4.4,3.5,4.7
