,DATE,Creek,Mayes,Okmulgee,Osage,Rogers,Tulsa,Wagoner,Washington
0,2004-01-01,776.0,349.0,273.0,361.0,363.0,1688.0,391.0,4717.0
1,2005-01-01,659.0,322.0,307.0,543.0,299.0,1396.0,379.0,251.0
2,2006-01-01,660.0,262.0,265.0,511.0,223.0,1411.0,337.0,149.0
3,2007-01-01,620.0,293.0,198.0,328.0,243.0,1349.0,380.0,190.0
4,2008-01-01,594.0,233.0,129.0,.,296.0,1377.0,423.0,.
5,2009-01-01,583.0,236.0,205.0,422.0,468.0,1109.0,486.0,165.0
6,2010-01-01,637.0,320.0,263.0,478.0,530.0,707.0,590.0,176.0
7,2011-01-01,.,287.0,.,.,534.0,919.0,552.0,.
8,2012-01-01,431.0,.,233.0,431.0,.,833.0,491.0,221.0
9,2013-01-01,529.0,208.0,167.0,366.0,472.0,1085.0,450.0,162.0
