,designatedArea,incidentType
2046,Tulsa ,Flood
2048,Creek ,Flood
2059,Osage ,Flood
2065,Okmulgee ,Flood
2093,Wagoner ,Flood
2118,Tulsa ,Flood
2119,Wagoner ,Flood
3210,Osage ,Severe Storm(s)
3238,Mayes ,Severe Storm(s)
3286,Muskogee ,Severe Storm(s)
3318,Washington ,Severe Storm(s)
3326,Tulsa ,Severe Storm(s)
3486,Tulsa ,Flood
3596,Washington ,Flood
3626,Rogers ,Flood
3642,Osage ,Flood
3866,Wagoner ,Flood
3876,Tulsa ,Flood
3886,Rogers ,Flood
3938,Osage ,Flood
3953,Creek ,Flood
3955,Tulsa ,Flood
3956,Washington ,Flood
3987,Osage ,Flood
4004,Okmulgee ,Flood
4008,Creek ,Flood
4064,Mayes ,Flood
4338,Mayes ,Severe Storm(s)
4575,Tulsa ,Tornado
4667,Wagoner ,Flood
4706,Tulsa ,Flood
5296,Washington ,Tornado
5858,Okmulgee ,Tornado
5873,Tulsa ,Flood
5896,Tulsa ,Tornado
6218,Wagoner ,Flood
6356,Osage ,Tornado
6426,Creek ,Tornado
6461,Mayes ,Flood
6601,Osage ,Flood
6644,Muskogee ,Flood
6681,Wagoner ,Flood
6789,Wagoner ,Tornado
6798,Tulsa ,Flood
6833,Okmulgee ,Flood
6835,Rogers ,Flood
6841,Creek ,Flood
7067,Osage ,Flood
7134,Washington ,Flood
7373,Rogers ,Tornado
7437,Rogers ,Flood
7793,Washington ,Severe Storm(s)
8144,Washington ,Tornado
8258,Creek ,Severe Storm(s)
8568,Mayes ,Tornado
8590,Okmulgee ,Severe Storm(s)
9337,Tulsa ,Severe Storm(s)
9339,Rogers ,Tornado
9622,Wagoner ,Severe Storm(s)
9952,Osage ,Tornado
9966,Okmulgee ,Severe Storm(s)
10024,Wagoner ,Tornado
10217,Osage ,Severe Storm(s)
10705,Osage ,Tornado
10934,Tulsa ,Tornado
11568,Creek ,Tornado
14229,Tulsa ,Tornado
14639,Okmulgee ,Tornado
14885,Creek ,Severe Ice Storm
15586,Muskogee ,Severe Storm(s)
15620,Washington ,Severe Ice Storm
15894,Creek ,Tornado
16308,Tulsa ,Severe Ice Storm
16612,Wagoner ,Severe Ice Storm
17078,Muskogee ,Severe Ice Storm
17315,Mayes ,Severe Ice Storm
17849,Osage ,Severe Ice Storm
17959,Osage ,Severe Ice Storm
18022,Osage ,Severe Ice Storm
18261,Rogers ,Severe Ice Storm
18375,Mayes ,Severe Storm(s)
18532,Muskogee ,Severe Storm(s)
18711,Okmulgee ,Severe Storm(s)
18721,Rogers ,Severe Ice Storm
18726,Okmulgee ,Severe Ice Storm
18844,Washington ,Severe Ice Storm
18989,Okmulgee ,Fire
19105,Creek ,Severe Storm(s)
19169,Washington ,Severe Storm(s)
19498,Creek ,Severe Ice Storm
19653,Okmulgee ,Severe Storm(s)
19774,Mayes ,Fire
20150,Osage ,Severe Storm(s)
20305,Washington ,Fire
20763,Wagoner ,Severe Storm(s)
20988,Tulsa ,Severe Ice Storm
21527,Muskogee ,Fire
21897,Creek ,Severe Ice Storm
22117,Mayes ,Severe Ice Storm
22176,Rogers ,Severe Storm(s)
22598,Rogers ,Severe Storm(s)
22687,Tulsa ,Fire
22714,Wagoner ,Fire
22818,Rogers ,Severe Storm(s)
22947,Tulsa ,Severe Storm(s)
23019,Okmulgee ,Severe Ice Storm
23037,Wagoner ,Severe Ice Storm
23079,Rogers ,Flood
23258,Wagoner ,Severe Storm(s)
23545,Okmulgee ,Severe Storm(s)
23576,Creek ,Fire
23583,Washington ,Severe Storm(s)
23638,Muskogee ,Severe Storm(s)
23643,Washington ,Severe Storm(s)
23775,Wagoner ,Severe Storm(s)
23779,Okmulgee ,Severe Storm(s)
23784,Washington ,Severe Ice Storm
23902,Wagoner ,Flood
23903,Muskogee ,Severe Storm(s)
23910,Rogers ,Fire
23985,Tulsa ,Severe Storm(s)
24143,Muskogee ,Flood
24346,Osage ,Severe Storm(s)
24628,Mayes ,Severe Storm(s)
24634,Tulsa ,Severe Ice Storm
24665,Osage ,Fire
24731,Okmulgee ,Severe Storm(s)
24800,Osage ,Severe Storm(s)
24907,Creek ,Severe Ice Storm
25082,Okmulgee ,Severe Ice Storm
25129,Osage ,Severe Ice Storm
25316,Rogers ,Severe Storm(s)
25506,Osage ,Severe Storm(s)
25519,Muskogee ,Severe Storm(s)
25560,Mayes ,Severe Storm(s)
25572,Mayes ,Severe Storm(s)
25688,Osage ,Severe Storm(s)
25713,Washington ,Severe Storm(s)
25855,Muskogee ,Severe Ice Storm
25926,Mayes ,Flood
26038,Rogers ,Severe Ice Storm
26223,Wagoner ,Severe Ice Storm
26360,Creek ,Severe Storm(s)
26369,Creek ,Severe Storm(s)
26778,Okmulgee ,Severe Storm(s)
26916,Okmulgee ,Severe Storm(s)
27240,Rogers ,Severe Storm(s)
27282,Osage ,Severe Storm(s)
27624,Muskogee ,Severe Storm(s)
27857,Mayes ,Severe Ice Storm
27885,Okmulgee ,Severe Storm(s)
27949,Creek ,Fire
27953,Okmulgee ,Severe Storm(s)
28078,Muskogee ,Severe Storm(s)
28417,Wagoner ,Severe Storm(s)
28670,Tulsa ,Severe Ice Storm
28694,Osage ,Severe Storm(s)
28725,Rogers ,Severe Ice Storm
28843,Washington ,Severe Ice Storm
28868,Okmulgee ,Severe Storm(s)
28955,Creek ,Severe Storm(s)
28961,Mayes ,Severe Storm(s)
29123,Mayes ,Fire
29216,Creek ,Fire
29537,Creek ,Fire
30062,Creek ,Fire
30267,Osage ,Fire
30424,Creek ,Severe Storm(s)
30471,Tulsa ,Severe Storm(s)
31109,Tulsa ,Fire
31153,Osage ,Fire
31185,Creek ,Fire
31462,Muskogee ,Fire
31662,Osage ,Severe Storm(s)
31819,Washington ,Severe Storm(s)
31939,Tulsa ,Fire
31959,Okmulgee ,Fire
32114,Muskogee ,Severe Storm(s)
32203,Creek ,Fire
32554,Tulsa ,Fire
32617,Creek ,Severe Ice Storm
32708,Tulsa ,Fire
33037,Creek ,Fire
33044,Creek ,Fire
33130,Wagoner ,Severe Ice Storm
33522,Washington ,Fire
34064,Muskogee ,Severe Ice Storm
