,DATE,Creek,Mayes,Muskogee,Okmulgee,Osage,Rogers,Tulsa,Wagoner,Washington
0,1970-01-01,45.532,23.302,59.542,35.358000000000004,29.75,28.425,399.98199999999997,22.163,42.302
1,1971-01-01,46.9,23.9,60.0,36.1,30.0,29.3,404.5,23.8,41.5
2,1972-01-01,47.7,24.7,60.0,36.1,29.9,30.8,409.7,25.7,41.1
3,1973-01-01,48.8,25.7,60.9,37.4,29.7,32.8,413.7,27.3,41.5
4,1974-01-01,50.4,26.3,61.2,37.0,31.2,34.4,417.6,28.6,41.2
5,1975-01-01,51.5,28.1,62.2,36.9,32.9,36.1,424.3,30.5,41.8
6,1976-01-01,53.1,29.1,64.1,37.5,34.1,38.1,430.2,32.1,42.6
7,1977-01-01,55.4,29.8,65.4,38.3,35.1,40.0,434.3,34.8,43.1
8,1978-01-01,57.2,30.5,65.9,38.2,36.5,41.8,439.3,36.8,43.7
9,1979-01-01,58.4,31.6,65.8,38.7,38.1,45.2,454.6,39.8,46.3
10,1980-01-01,59.016000000000005,32.260999999999996,67.033,39.169000000000004,39.327,46.43600000000001,470.593,41.801,48.113
11,1981-01-01,60.848,32.617,67.684,39.858000000000004,39.611999999999995,48.443000000000005,482.745,43.449,50.626000000000005
12,1982-01-01,63.238,33.314,68.169,39.882,41.961999999999996,51.24100000000001,497.599,44.931000000000004,52.988
13,1983-01-01,64.36,34.162,70.265,40.595,43.56,53.511,507.07800000000003,47.04,53.858999999999995
14,1984-01-01,67.458,34.861999999999995,70.692,39.732,42.791000000000004,53.917,506.414,47.739,53.098
15,1985-01-01,67.432,34.133,70.264,39.285,42.843,54.878,504.42400000000004,47.739,52.91
16,1986-01-01,66.045,33.864000000000004,69.76,39.183,43.45,55.101000000000006,507.93199999999996,47.607,51.246
17,1987-01-01,64.531,33.488,69.527,38.976,42.174,55.067,505.74,47.831,49.056999999999995
18,1988-01-01,62.869,33.159,68.346,37.562,41.552,54.425,499.454,47.007,48.051
19,1989-01-01,61.617,33.132,67.84,36.814,41.793,54.558,499.452,47.455,47.228
20,1990-01-01,60.813,33.44,68.153,36.478,41.603,55.357,505.289,48.027,48.338
21,1991-01-01,61.553999999999995,33.869,68.42399999999999,36.607,41.861000000000004,56.412,514.116,48.711999999999996,48.85
22,1992-01-01,62.086999999999996,34.287,68.758,37.031,42.417,57.522,521.681,49.43600000000001,48.667
23,1993-01-01,62.591,34.796,68.889,37.585,43.065,59.193999999999996,526.344,50.708,48.093999999999994
24,1994-01-01,63.27,35.236999999999995,69.241,37.756,43.01,60.098,529.054,51.576,48.161
25,1995-01-01,64.053,35.872,69.217,38.056,43.071000000000005,61.246,531.124,52.402,48.312
26,1996-01-01,64.638,36.419000000000004,69.271,38.389,43.178000000000004,62.692,537.887,53.575,48.425
27,1997-01-01,65.54,36.999,69.23100000000001,39.259,43.428999999999995,64.563,546.009,54.507,48.663000000000004
28,1998-01-01,66.32600000000001,37.56,69.47,39.49,43.985,66.778,554.563,55.675,48.847
29,1999-01-01,67.056,38.217,69.413,39.68,44.213,68.884,561.682,56.735,49.013000000000005
30,2000-01-01,67.516,38.388000000000005,69.449,39.609,44.516000000000005,71.372,564.0740000000001,57.638999999999996,48.996
31,2001-01-01,67.857,38.412,69.553,39.566,44.909,72.972,567.0740000000001,58.693999999999996,48.896
32,2002-01-01,68.315,38.446999999999996,69.548,39.509,44.841,74.976,570.637,60.128,49.021
33,2003-01-01,68.328,38.662,69.96,39.602,44.842,76.957,570.313,61.08,48.976000000000006
34,2004-01-01,68.124,38.828,69.94800000000001,39.558,44.761,78.604,568.313,61.955,48.941
35,2005-01-01,68.046,39.039,70.229,39.343,44.93899999999999,79.712,570.635,63.093,48.799
36,2006-01-01,68.185,39.349000000000004,70.453,39.163000000000004,44.909,81.503,577.7959999999999,65.03699999999999,49.111000000000004
37,2007-01-01,68.80199999999999,39.71,70.72800000000001,39.265,45.263999999999996,83.235,585.705,67.161,49.951
38,2008-01-01,69.442,40.018,70.77,39.075,45.173,84.512,592.788,68.911,50.565
39,2009-01-01,70.273,40.024,71.521,39.457,45.043,85.62,602.694,70.193,50.687
40,2010-01-01,70.248,41.31399999999999,71.12899999999999,40.082,47.498000000000005,87.01700000000001,604.9730000000001,73.426,51.068999999999996
41,2011-01-01,70.65100000000001,41.324,70.763,39.783,47.784,87.56200000000001,609.2040000000001,74.035,51.361999999999995
42,2012-01-01,70.76,41.151,70.529,39.551,47.46,88.101,615.181,74.984,51.626999999999995
43,2013-01-01,70.575,40.963,70.172,39.396,47.391000000000005,88.727,623.705,75.654,51.646
44,2014-01-01,70.559,40.918,69.725,39.079,47.493,89.366,630.918,75.65100000000001,51.997
45,2015-01-01,70.801,40.889,69.319,39.065,47.338,90.08,640.47,76.733,52.091
46,2016-01-01,71.191,41.035,69.012,39.075,47.364,90.992,645.951,77.66199999999999,52.027
47,2017-01-01,71.89,40.988,69.027,38.819,47.346000000000004,91.435,646.437,78.984,51.996
48,2018-01-01,71.73,41.21,68.324,38.321,47.121,91.801,647.683,80.123,51.791000000000004
49,2019-01-01,71.52199999999999,41.1,67.997,38.465,46.963,92.459,651.552,81.289,51.527
