,DATE,Creek,Mayes,Muskogee,Okmulgee,Osage,Rogers,Tulsa,Wagoner,Washington
120,2000-01-01,3.7,3.9,4.4,5.3,3.8,3.1,3.2,2.9,3.5
121,2000-02-01,3.7,3.9,4.3,5.2,3.7,3.1,3.3,2.9,3.5
122,2000-03-01,3.5,3.4,4.0,4.8,3.3,2.8,2.9,2.6,3.2
123,2000-04-01,2.9,3.1,3.2,4.2,2.6,2.3,2.4,2.1,2.6
124,2000-05-01,3.4,3.3,3.8,4.7,3.2,2.8,2.9,2.6,3.3
125,2000-06-01,3.7,3.6,4.2,4.6,3.4,3.0,3.1,2.9,3.4
126,2000-07-01,3.1,3.1,3.8,4.0,3.1,2.5,2.7,2.5,3.0
127,2000-08-01,3.1,3.2,3.9,3.9,3.1,2.6,2.7,2.5,3.2
128,2000-09-01,2.9,3.3,3.7,3.9,3.1,2.5,2.7,2.4,2.9
129,2000-10-01,2.8,3.0,3.7,4.1,2.9,2.5,2.6,2.5,2.8
130,2000-11-01,2.7,2.9,3.6,4.2,2.8,2.4,2.5,2.4,2.6
131,2000-12-01,2.6,2.8,3.4,4.1,2.7,2.2,2.3,2.2,2.4
132,2001-01-01,3.2,3.6,4.2,5.0,3.2,2.6,2.9,2.6,3.0
133,2001-02-01,3.3,3.7,4.1,4.9,3.1,2.7,3.0,2.7,2.8
134,2001-03-01,3.1,3.6,4.0,4.6,3.1,2.7,2.9,2.6,2.8
135,2001-04-01,2.7,3.6,3.5,4.1,2.8,2.2,2.6,2.3,2.3
136,2001-05-01,3.2,3.7,3.8,4.6,3.1,2.7,2.9,2.6,2.8
137,2001-06-01,3.7,4.1,4.3,4.8,3.6,3.2,3.4,3.1,3.4
138,2001-07-01,3.3,4.2,4.0,4.0,3.2,2.9,3.1,2.7,3.4
139,2001-08-01,3.6,4.5,4.3,4.2,3.4,3.1,3.4,3.0,3.4
140,2001-09-01,3.9,4.5,4.3,4.6,3.4,3.3,3.5,3.1,3.4
141,2001-10-01,4.2,4.6,4.6,5.1,3.8,3.5,4.0,3.5,3.4
142,2001-11-01,4.4,4.9,5.0,5.3,4.0,3.7,4.0,3.6,3.6
143,2001-12-01,4.6,5.1,5.1,5.3,4.2,3.7,4.1,3.6,3.7
144,2002-01-01,5.5,7.7,5.7,5.9,4.9,4.4,4.6,4.1,4.3
145,2002-02-01,5.3,7.5,5.5,5.8,4.9,4.3,4.6,4.1,4.6
146,2002-03-01,5.1,6.8,5.2,5.6,4.8,4.0,4.6,4.1,4.5
147,2002-04-01,4.8,6.6,4.8,5.3,4.6,3.8,4.4,3.8,4.0
148,2002-05-01,5.2,6.5,4.8,5.7,5.2,4.2,4.7,4.2,4.3
149,2002-06-01,5.2,6.7,5.2,5.8,5.3,4.5,4.8,4.3,4.6
150,2002-07-01,4.8,6.4,4.8,5.2,4.7,4.1,4.6,4.0,4.3
151,2002-08-01,4.9,6.4,4.8,5.5,4.9,4.3,4.7,4.0,4.1
152,2002-09-01,5.3,6.2,4.9,5.8,5.1,4.5,4.8,4.1,4.1
